#,name,name_ko,type,category,area,used_on,hours (regular),closed,booking,address_ko (show taxi driver),phone,lat,lng,google_maps,kakao_map
15,Onjium,온지음,food,Korean restaurant,Seochon · Gyeongbokgung,,"Tue–Fri 12:00–21:00 (break 15:00~18:00); closed Mon,Sat,Sun","Mon,Sat,Sun",https://www.catchtable.net/shop/onjiumrestaurant?ct-referrer=google-maps,서울 종로구 효자로 49 4층 (창성동),02-6952-0024,37.5804867,126.9733488,https://maps.google.com/?cid=2138934176330157648,https://place.map.kakao.com/27050439
16,Korean Bistro Mr.Ahn's Makgeolli,한국술집 안씨막걸리,bar,Bistro,Yongsan · Itaewon · Hannam,,Daily 17:30–23:30,,https://www.catchtable.net/shop/Y2F0Y2hfc1craGN3TWtJM1QzQ1BqQmRvMHdtdz09?ct-referrer=google-maps,서울 용산구 회나무로 3 1층 (이태원동),010-4592-3609,37.538580599999996,126.9874086,https://maps.google.com/?cid=8175176985865071436,https://place.map.kakao.com/1384545112
17,Woo Lae Oak,우래옥,food,Cold noodle restaurant,Gwangjang · Dongdaemun,Day 15,Tue–Fri 11:30–21:00 (break 14:00~17:00); Sat–Sun 11:30–21:00; closed Mon,Mon,https://www.catchtable.net/shop/Y2F0Y2hfc0EvanB2VHpFTGdIeTlaL0dUVkpxdz09?ct-referrer=google-maps,서울 중구 창경궁로 62-29 1-2층 (주교동),02-2265-0151,37.5681851,126.9987092,https://maps.google.com/?cid=8303913792532717456,https://place.map.kakao.com/8025375
18,Tongin Traditional Market,통인시장,market,Market,Seochon · Gyeongbokgung,Day 12,hours unknown,,,서울 종로구 자하문로 55 1층 (통인동),02-730-3320,37.5807649,126.97067559999999,https://maps.google.com/?cid=14146089961621208267,https://place.map.kakao.com/998638771
19,Seoul Forest Park,서울숲공원,park,Park,Seoul Forest,Day 9,Daily 00:00–24:00,,reservable (Kakao),서울 성동구 성수동1가 678-1,02-460-2905,37.544387799999996,127.03744239999999,https://maps.google.com/?cid=15968524466520016538,https://place.map.kakao.com/11331488
20,Deoksugung Liege Waffle,덕수궁 리에제 와플,dessert,Dessert shop,Deoksugung · City Hall,Day 6,"Mon–Thu,Sun 08:00–21:30; Fri–Sat 08:00–22:00",,,서울 중구 덕수궁길 5 1층 (태평로2가),02-318-5202,37.5647918,126.97645349999999,https://maps.google.com/?cid=11144551087671422450,https://place.map.kakao.com/243733683
21,Deoksugung Palace,덕수궁,sight,Cultural landmark,Deoksugung · City Hall,Day 6,Tue–Sun 09:00–21:00; closed Mon,Mon,,서울 중구 정동,02-771-9951,37.5658862,126.97490169999999,https://maps.google.com/?cid=550234504920290008,https://place.map.kakao.com/7945845
22,Namsan Baekbeom Square,남산공원 백범광장,park,Park,Namsan · Myeongdong,Day 11,hours unknown,,reservable (Kakao),서울 중구 회현동1가 100-115,+82 2-318-5284,37.5548599,126.97924049999999,https://maps.google.com/?cid=4587504949595071139,https://place.map.kakao.com/8381397
23,10SQUARE,10SQUARE,coffee,Coffee shop,Gangnam Stn,,hours unknown,,,서울특별시 서초구 방배동 931-24 10SQUARE,,37.4845769,126.9916092,https://maps.google.com/?cid=5376298931890012505,
24,Tosokchon Samgyetang,토속촌 삼계탕,food,Samgyetang restaurant,Seochon · Gyeongbokgung,Day 12,Daily 10:00–22:00,,https://autoreserve.com/restaurants/7NvqBSHi5oRd6m9CKmAE?rwg_token=AE37R_j9oKMb-oNJ2isdVfYoKQnYmsjkhpQVfsLOuizwZzofI3nxydJJ0yHyKEYMZiKrtWQ23XkbFwjsQNeyKYAna4jzuKUflw%3D%3D,서울 종로구 자하문로5길 5 1층 (체부동),02-737-7444,37.577778599999995,126.9715909,https://maps.google.com/?cid=16170311330052992851,https://place.map.kakao.com/26545925
25,Bar Cham,바 참 Bar Cham,bar,Cocktail bar,Seochon · Gyeongbokgung,Day 14,"Mon,Wed–Sun 18:00–01:00; closed Tue",Tue,https://www.catchtable.net/shop/Barcham?ct-referrer=google-maps,서울 종로구 자하문로7길 34 1층 (통인동),02-6402-4750,37.5791709,126.97038509999999,https://maps.google.com/?cid=10256081370163760459,https://place.map.kakao.com/939585270
26,MBTI Capsule Machine,MBTI Capsule Machine,shop,Store,Hapjeong · Mangwon,,hours unknown,,,"MBTI Capsule Machine, 365-1 서교동 마포구 서울특별시 대한민국",,37.553121499999996,126.92191349999999,https://maps.google.com/?cid=11973070462184804430,
27,Allwrite,Allwrite,museum,Art supply store,Seochon · Gyeongbokgung,Day 14,Daily 12:30–19:30,,,서울 종로구 자하문로5가길 41 1층 (체부동),010-9223-3484,37.578909599999996,126.96974589999999,https://maps.google.com/?cid=12912461869663989138,https://place.map.kakao.com/1661573479
28,썸원라이프 SOMEONE LIFE,썸원라이프 SOMEONE LIFE,shop,Clothing store,Seochon · Gyeongbokgung,,Daily 12:00–20:00,,,서울 종로구 사직로8길 5-5 단독 (필운동),02-336-2925,37.5754296,126.96955589999999,https://maps.google.com/?cid=7198371438025599125,https://place.map.kakao.com/1536882658
29,One More Bag,원모어백,shop,Bag shop,Seochon · Gyeongbokgung,,Daily 12:00–19:00,,,서울 종로구 필운대로 6-1 2층 (필운동),070-7768-8990,37.576703099999996,126.96931239999999,https://maps.google.com/?cid=2592834293270599665,https://place.map.kakao.com/1556508891
30,ETC Seoul Seochon,이티씨 서울 서촌,shop,Clothing store,Seochon · Gyeongbokgung,Day 12,Daily 12:00–20:30,,,"서울 종로구 필운대로 8 지하1층,1층 (필운동)",070-5158-0035,37.5767673,126.9693415,https://maps.google.com/?cid=7578796339042980027,https://place.map.kakao.com/666784557
31,AllD'se,올딧세,coffee,Cafe,Gongdeok,Day 1,Daily 11:30–21:30,,,서울 용산구 한강대로21길 29-16 1층 (한강로3가),010-4444-4444,37.5269465,126.9630303,https://maps.google.com/?cid=4434128381925643662,https://place.map.kakao.com/1321955700
32,Gom Chef Jin Gomtang,곰쉐프진곰탕,food,Korean restaurant,South Seocho · Yangjae,Day 10,Mon–Fri 10:30–21:00; Sat 10:30–19:00; closed Sun,Sun,,서울 서초구 헌릉로8길 9-8 내곡플라자 1층 106호 (내곡동),02-572-6829,37.4566875,127.05993749999999,https://maps.google.com/?cid=7723488346083451479,https://place.map.kakao.com/626063892
33,Baskin Robbins Workshop,워크숍 바이 배스킨라빈스,dessert,Dessert shop,South Seocho · Yangjae,,Mon–Fri 07:30–22:00; Sat–Sun 10:00–22:00,,,서울 강남구 논현로 201 SPC2023 1층 (도곡동),02-575-9609,37.485744,127.0409303,https://maps.google.com/?cid=13979679901220618976,https://place.map.kakao.com/1607971824
34,Baskin Robbins 100 Flavors,배스킨라빈스 강남대로점,dessert,Ice cream shop,Gangnam Stn,Day 5,Daily 10:00–23:00,,,서울 강남구 강남대로 442 1층 (역삼동),02-561-1217,37.5021428,127.0259626,https://maps.google.com/?cid=11753730295035026761,https://place.map.kakao.com/931061538
35,Wel-Yaggug,웰약국,skincare,Drug store,Gangnam Stn,,Mon–Sat 09:00–22:30; Sun 10:20–22:00,,,서울 강남구 강남대로 432 점프밀라노 지하1층 101호 (역삼동),02-6440-5656,37.5012067,127.0266106,https://maps.google.com/?cid=16266890564830933692,https://place.map.kakao.com/16505031
36,CONVERSE,컨버스 코엑스점,shop,Shoe store,COEX · Samseong,,Daily 10:30–22:00,,,서울 강남구 삼성동 159-9 지하1층,02-6002-3030,37.512268899999995,127.06049139999999,https://maps.google.com/?cid=13928510520088085080,https://place.map.kakao.com/223784476
37,Odarijip Ganjang Gejang Gangnam (Yeoksam),오다리집 간장게장 강남역삼점,food,Crab house,Gangnam Stn,,Daily 10:00–23:00,,,서울 강남구 봉은사로30길 74 1층 (역삼동),02-556-6769,37.5024338,127.0369137,https://maps.google.com/?cid=11994643318773259352,https://place.map.kakao.com/1431782444
38,Audeum Audio Museum,오디움,museum,Museum,South Seocho · Yangjae,Day 10,"Thu–Sat 10:00–17:00; closed Mon,Tue,Wed,Sun","Mon,Tue,Wed,Sun",reservable (Kakao),서울 서초구 헌릉로8길 6 (신원동),02-574-5175,37.4566681,127.0589182,https://maps.google.com/?cid=15777155042479287788,https://place.map.kakao.com/721979898
39,Gangnam Myeonok,강남면옥,food,Korean restaurant,Apgujeong · Dosan · Sinsa,Day 10,Daily 10:30–22:00,,,서울 강남구 논현로152길 34 1층 (신사동),02-3446-5539,37.5213898,127.0309314,https://maps.google.com/?cid=10407693233637623476,https://place.map.kakao.com/8163082
40,Noah Cityhouse,노아,shop,Clothing store,Apgujeong · Dosan · Sinsa,,Daily 11:00–20:00,,,서울 강남구 압구정로42길 25-5 1-2층 (신사동),02-6408-1523,37.527236599999995,127.03556259999999,https://maps.google.com/?cid=11760465984093513208,https://place.map.kakao.com/1552646943
41,투아투아,투아투아,food,Bakery,Apgujeong · Dosan · Sinsa,Day 10,Mon–Thu 09:00–19:00; Fri–Sun 09:00–20:00,,,서울 강남구 압구정로48길 34 1층 (신사동),0502-5553-7671,37.5263454,127.03678289999999,https://maps.google.com/?cid=7538600824858484886,https://place.map.kakao.com/1386912282
42,TAMBURINS Flagship Store Hannam,TAMBURINS Flagship Store Hannam,skincare,Perfume store,Yongsan · Itaewon · Hannam,Day 8,Daily 11:00–21:00,,,서울 용산구 이태원로 238 (한남동),070-4101-3274,37.5359954,126.9999555,https://maps.google.com/?cid=3458383431773383937,https://place.map.kakao.com/1948155366
43,Camel Coffee,카멜커피 서촌점,coffee,Coffee shop,Seochon · Gyeongbokgung,Day 12,Daily 08:00–21:00,,,서울 종로구 효자로 31 1-2층 (통의동),010-6540-4940,37.5787903,126.9737128,https://maps.google.com/?cid=1534551221384801000,https://place.map.kakao.com/1849776839
44,Camel Coffee Seongsu,카멜커피 성수점,coffee,Coffee shop,Seongsu,,Daily 10:00–18:00,,,서울 성동구 성덕정19길 6 1층 (성수동2가),010-7542-0973,37.5372397,127.05589339999999,https://maps.google.com/?cid=8923043449249008392,https://place.map.kakao.com/939851854
45,Hyodo Chicken,효도치킨 논현점,food,Restaurant,Apgujeong · Dosan · Sinsa,Day 5,Mon–Fri 11:30–00:30; Sat 14:00–00:30; Sun 12:00–00:30,,reservable (Kakao),서울 강남구 도산대로46길 21 한진로즈힐아파트 101동 지1층 B120호 (논현동),02-518-0628,37.5209532,127.03751179999999,https://maps.google.com/?cid=13461425529128506675,https://place.map.kakao.com/1139521945
46,Hyodo Chicken Gwanghwamun,효도치킨 광화문점,food,Chicken shop,Seochon · Gyeongbokgung,Day 6,Daily 14:00–22:30,,https://www.catchtable.net/shop/hyodochicken_gwanghwa?ct-referrer=google-maps,서울 종로구 사직로8길 21-1 1-2층 (내자동),02-737-0628,37.574634599999996,126.9710606,https://maps.google.com/?cid=13270536306708488297,https://place.map.kakao.com/1748735049
47,Champ Coffee 2nd Workroom,챔프커피 이태원,coffee,Cafe,Yongsan · Itaewon · Hannam,Day 11,Daily 08:30–20:00,,,서울 용산구 녹사평대로26가길 24 1층 (이태원동),02-790-4516,37.532497899999996,126.9928235,https://maps.google.com/?cid=12803435832687268375,https://place.map.kakao.com/1143868163
48,Champ Coffee,챔프커피 성수,coffee,Cafe,Seongsu,,Mon–Fri 08:00–19:00; Sat–Sun 11:00–19:00,,,서울 성동구 성수이로10길 6 1층 (성수동2가),+82 10-7566-7111,37.5398206,127.0557468,https://maps.google.com/?cid=10126036921091097386,https://place.map.kakao.com/424818451
49,Sounds of Apple,사운즈오브애플 Sounds of Apple,food,Brunch restaurant,Namsan · Myeongdong,Day 14,Daily 07:30–16:00,,,서울 중구 명동8가길 47 1층 (충무로2가),+82 70-8833-5790,37.5618943,126.98768059999999,https://maps.google.com/?cid=6702755796067864777,https://place.map.kakao.com/1962040963
50,GML seoul,지엠엘 한남,coffee,Coffee shop,Yongsan · Itaewon · Hannam,,Daily 09:00–22:00,,https://www.catchtable.net/shop/gml?ct-referrer=google-maps,서울 용산구 한남대로27가길 22 3층 (한남동),02-792-2024,37.537753699999996,127.002821,https://maps.google.com/?cid=13226203389532959666,https://place.map.kakao.com/1473889041
51,reindeer,reindeer,shop,Jewelry designer,Yongsan · Itaewon · Hannam,,Daily 12:00–20:00,,,서울 용산구 한남대로27가길 23 1층 (한남동),+82 70-8833-8446,37.537712899999995,127.0025945,https://maps.google.com/?cid=996116960362022586,https://place.map.kakao.com/27582953
52,Milestone Coffee Hannam,마일스톤 커피 한남,coffee,Coffee shop,Yongsan · Itaewon · Hannam,Day 8,Daily 10:00–21:00,,,서울 용산구 한남대로27가길 26 1층 (한남동),070-7807-3046,37.5378721,127.0026652,https://maps.google.com/?cid=14714176468931161517,https://place.map.kakao.com/1606590560
53,cosymosy 코지모지,cosymosy 코지모지,shop,Gift shop,Yongsan · Itaewon · Hannam,Day 8,Daily 11:00–20:00,,,서울 용산구 대사관로5길 11 2층 (한남동),0507-1337-0536,37.5348161,127.0006629,https://maps.google.com/?cid=6728441775988812457,https://place.map.kakao.com/1671875303
54,Cosy Mosy,코지모지,shop,Gift shop,Outside Seoul,,Mon–Fri 11:00–19:00; Sat–Sun 11:00–20:00,,,부산 수영구 광남로 175 2층 (광안동),0507-1397-3497,35.156788899999995,129.1192723,https://maps.google.com/?cid=8249963369766235079,https://place.map.kakao.com/488561455
55,Jinmi Sikdang,진미식당,food,Crab house,Gongdeok,Day 6,Mon–Sat 12:00–20:00 (break 15:30~17:00); closed Sun,Sun,https://www.catchtable.net/shop/Y2F0Y2hfeHlDaHBkYlR4QUVTS2V4SytkUjN4QT09?ct-referrer=google-maps,서울 마포구 마포대로 186-6 1층 (공덕동),02-3211-4468,37.5505634,126.9557715,https://maps.google.com/?cid=18090633512185265939,https://place.map.kakao.com/1386489124
56,Leeum Museum of Art,리움미술관,museum,Art museum,Yongsan · Itaewon · Hannam,Day 8,Tue–Sun 10:00–18:00; closed Mon,Mon,,서울 용산구 이태원로55길 60-16 지하3층 (한남동),02-2014-6901,37.5379389,126.99927489999999,https://maps.google.com/?cid=18153037582453744059,https://place.map.kakao.com/20589638
57,Parc Seoul,빠르크,food,Korean restaurant,Yongsan · Itaewon · Hannam,Day 8,Daily 11:30–21:00 (break 15:20~17:30),,https://www.catchtable.net/shop/parcseoul?ct-referrer=google-maps,서울 용산구 이태원로55가길 26-5 1층 (한남동),02-792-2022,37.5374546,126.9997109,https://maps.google.com/?cid=16947584549477609066,https://place.map.kakao.com/21539210
58,치즈앤 CHIZN,치즈앤 CHIZN,dessert,Cafe,Apgujeong · Dosan · Sinsa,Day 10,Daily 11:00–23:00,,https://www.catchtable.net/shop/CHIZN?ct-referrer=google-maps,서울 강남구 압구정로42길 49 1층 (신사동),02-516-6999,37.5256434,127.03454119999999,https://maps.google.com/?cid=9821368752155094536,https://place.map.kakao.com/1938726353
59,Pola at Home,폴라앳홈 스토어,shop,Vessel store,Seongsu,Day 15,Mon–Fri 12:00–18:30; Sat–Sun 14:00–18:30,,,서울 성동구 성수일로10길 11 우성오토파츠 1층 (성수동2가),02-466-2026,37.547801899999996,127.052177,https://maps.google.com/?cid=17871276741653895948,https://place.map.kakao.com/1985406950
60,Sienne Seongsu Boutique,sienne seongsu boutique,shop,Women's clothing store,Seongsu,,Tue–Sun 12:00–19:30; closed Mon,Mon,,서울 성동구 연무장길 77 107~108호 (성수동2가),070-7576-1048,37.541739299999996,127.05793729999999,https://maps.google.com/?cid=9957070161783086762,https://place.map.kakao.com/2060688390
61,Apgujeong Sanghoe,압구정상회 apgujeong sanghoe,food,Korean restaurant,Apgujeong · Dosan · Sinsa,Day 10,"Mon–Thu,Sun 11:00–22:00 (break 16:00~17:00); Fri–Sat 11:00–23:00 (break 16:00~17:00)",,https://m.place.naver.com/restaurant/2042225573/booking?entry=pll&bk_query=%EC%95%95%EA%B5%AC%EC%A0%95%EC%83%81%ED%9A%8C,서울 강남구 선릉로155길 13-2 1-2층 (신사동),0507-1426-8999,37.525226599999996,127.03830509999999,https://maps.google.com/?cid=6833775526131242784,https://place.map.kakao.com/14745468
62,Kompakt Record bar,콤팩트 레코드바,bar,Cocktail bar,Apgujeong · Dosan · Sinsa,Day 10,Daily 19:00–02:00,,,서울 강남구 도산대로25길 46 1층 102호 (신사동),+82 10-2718-5866,37.5225559,127.0260072,https://maps.google.com/?cid=16631991733874219710,https://place.map.kakao.com/1173351342
63,MARGESHERWOOD Seoul Flagship Store,MARGESHERWOOD Seoul Flagship Store,shop,Handbags shop,Seongsu,,Daily 11:00–20:00,,,서울 성동구 연무장11길 13 (성수동2가),070-449-0302,37.5432193,127.0572272,https://maps.google.com/?cid=5810732170879937729,https://place.map.kakao.com/583042254
64,THREE TO EIGHTY,THREE TO EIGHTY 성수 플래그십 스토어,shop,Women's clothing store,Seongsu,,Daily 11:00–20:00,,,서울 성동구 연무장11길 19 (성수동2가),070-7799-8310,37.5425652,127.05823969999999,https://maps.google.com/?cid=673484799244088595,https://place.map.kakao.com/1775592347
65,아오삭 성수,아오삭 성수,skincare,Cosmetics store,Seongsu,,Daily 12:00–21:00,,,서울 성동구 연무장9길 14 1층 (성수동2가),02-497-1357,37.5433259,127.0561455,https://maps.google.com/?cid=16150098980204059988,https://place.map.kakao.com/1293037289
66,Tokino,Tokino,coffee,Coffee shop,Seongsu,,Tue–Sun 10:30–20:00; closed Mon,Mon,,서울 성동구 연무장5가길 22 2층 (성수동2가),02-3409-1020,37.5432947,127.0550231,https://maps.google.com/?cid=17773312139927355219,https://place.map.kakao.com/1758616703
67,so far,소파 so far,dessert,Ice cream shop,Seongsu,Day 7,Daily 12:00–21:30,,https://www.catchtable.net/shop/sofar?ct-referrer=google-maps,서울 성동구 성수일로4길 50 1층 (성수동2가),0507-1373-8175,37.5424222,127.0541147,https://maps.google.com/?cid=13639407740367633555,https://place.map.kakao.com/613639039
68,The North Face White Label Myeongdong Lounge,The North Face White Label Myeongdong Lounge,shop,Sportswear store,Namsan · Myeongdong,,hours unknown,,,서울 중구 명동길 15 1-3층 (명동1가),+82 2-3789-8859,37.5637866,126.9831682,https://maps.google.com/?cid=12645494933195708119,https://place.map.kakao.com/1513931374
69,HAN JUNG SUN,한정선 성수점,dessert,Dessert restaurant,Seongsu,Day 9,Daily 10:30–22:00,,,서울 성동구 연무장길 43-1 1층 (성수동2가),02-463-1369,37.5428451,127.05416899999999,https://maps.google.com/?cid=7202099055918597671,https://place.map.kakao.com/1754511299
70,Seomun Market,서문시장,market,Traditional market,Outside Seoul,,Daily 09:00–18:00,,,대구 중구 큰장로26길 45 (대신동),053-256-6341,35.8688875,128.5807946,https://maps.google.com/?cid=1973930584881181529,https://place.map.kakao.com/27464044
71,Samsong Bakery and Cafe,삼송비엔씨,dessert,Pastry shop,Outside Seoul,,hours unknown,,,"대구 수성구 용학로25길 24 1,2,4층 (두산동)",053-556-3030,35.8248263,128.6247208,https://maps.google.com/?cid=7778872892079725594,https://place.map.kakao.com/1680120348
72,ILKW Seoul Showroom,ILKW Seoul Showroom,shop,Lighting store,Namsan · Myeongdong,,hours unknown,,,서울특별시 중구 퇴계로4길 2-1 ILKW Seoul Showroom,+82 2-318-1079,37.557410399999995,126.97747589999999,https://maps.google.com/?cid=1852147470058078984,
73,SINON SHOP,시논샵,shop,Kitchen supply store,Namsan · Myeongdong,,Daily 12:00–19:00,,,서울 용산구 두텁바위로60길 49 대원빌딩 신관 1층 101호 (후암동),02-6439-0204,37.5488492,126.98326929999999,https://maps.google.com/?cid=9672388891253919309,https://place.map.kakao.com/1066996292
74,Tamburins Seongsu,TAMBURINS Flagship Store Seongsu,skincare,Perfume store,Seongsu,Day 7,Daily 11:00–21:00,,,"서울 성동구 연무장5길 8 지하1층,1-3층 (성수동2가)",070-4266-6142,37.5437671,127.05260439999999,https://maps.google.com/?cid=8792177122217069928,https://place.map.kakao.com/452269768
75,OLIVE YOUNG,올리브영 강남 타운,skincare,Cosmetics store,Gangnam Stn,Day 5,Daily 10:00–22:30,,,서울 서초구 강남대로 429 동일빌딩 1-3층 (서초동),1577-4887,37.5008693,127.0256886,https://maps.google.com/?cid=5126011910020465518,https://place.map.kakao.com/1940770088
76,Olive Young,올리브영 공덕역점,skincare,Cosmetics store,Gongdeok,Day 6,Daily 10:00–22:30,,,서울 마포구 백범로 199 메트로디오빌 1층 (신공덕동),1577-4887,37.5434664,126.9527327,https://maps.google.com/?cid=2222962873741926009,https://place.map.kakao.com/20104659
77,Olive Young Myeongdong Boulevard Branch,올리브영 명동대로점,skincare,Cosmetics store,Namsan · Myeongdong,,Daily 10:00–22:30,,,서울 중구 퇴계로 120 1층 (남산동1가),1577-4887,37.560576,126.9851417,https://maps.google.com/?cid=17325434494259307291,https://place.map.kakao.com/26470367
78,강남레디영약국 Gangnam Ready Young Pharmacy near me,강남레디영약국 Gangnam Ready Young Pharmacy near me,skincare,Pharmacy,Gangnam Stn,Day 5,Daily 10:00–23:00,,,서울 서초구 서초대로77길 5 (서초동),070-5056-0533,37.498356799999996,127.0264406,https://maps.google.com/?cid=17188089504474588603,https://place.map.kakao.com/1205513963
79,korea pharmacy Hongdae-Street Ready Young Pharmacy,홍대스트리트레디영약국,skincare,Pharmacy,Hapjeong · Mangwon,,Daily 11:00–24:00,,,서울 마포구 와우산로21길 36-3 (서교동),02-336-2228,37.5525167,126.92180429999999,https://maps.google.com/?cid=1004833154999505348,https://place.map.kakao.com/895060885
80,명동타운레디영약국 Myeongdong Town Ready Young Pharmacy near me,명동타운레디영약국 Myeongdong Town Ready Young Pharmacy near me,skincare,Pharmacy,Namsan · Myeongdong,Day 14,Daily 10:00–00:30,,,서울 중구 명동8가길 31 1-3층 (충무로2가),070-7773-9325,37.5618039,126.9868429,https://maps.google.com/?cid=366713029668970706,https://place.map.kakao.com/1404426795
81,READY YOUNG PHARMACY,홍대레디영약국 Hongdae Ready Young Pharmacy,skincare,Pharmacy,Hongdae · Yeonnam · Yeonhui,Day 3,Daily 10:00–23:00,,,서울 마포구 홍익로6길 8 1층 (동교동),02-332-7636,37.5548918,126.92253029999999,https://maps.google.com/?cid=18039276407978757723,https://place.map.kakao.com/2009408276
82,Outdoor Voices,아웃도어 보이스,shop,Clothing store,Yongsan · Itaewon · Hannam,,Daily 11:30–21:00,,,서울 용산구 이태원로55가길 26-4 1층 (한남동),02-790-2640,37.537324999999996,126.99995659999999,https://maps.google.com/?cid=4314379737692269130,https://place.map.kakao.com/358290179
83,GENTLE MONSTER HAUS NOWHERE DOSAN,HAUS NOWHERE Dosan,shop,Sunglasses store,Apgujeong · Dosan · Sinsa,Day 10,Daily 11:00–21:00,,,서울 강남구 압구정로46길 50 지하1층 (신사동),070-4128-2125,37.525382,127.0356949,https://maps.google.com/?cid=8162491523638111706,https://place.map.kakao.com/507311553
84,GENTLE MONSTER,GENTLE MONSTER Seoul Hong Dae,shop,Sunglasses store,Hapjeong · Mangwon,Day 3,Daily 12:00–22:00,,,서울 마포구 독막로7길 54 (서교동),02-3144-0864,37.5500531,126.92008349999999,https://maps.google.com/?cid=16683319647691830658,https://place.map.kakao.com/1741888863
